"Area"	"Paddock"	"Subplot"	"Rotation"	"Breed"
"246"	"2"	"2_3"	"2_3_7"	"C"	"HC"
"250"	"2"	"2_3"	"2_3_8"	"B"	"AH"
"252"	"2"	"2_3"	"2_3_8"	"C"	"HC"
"254"	"3"	"3_1"	"3_1_1"	"A"	"OB"
"256"	"3"	"3_1"	"3_1_1"	"B"	"AH"
"258"	"3"	"3_1"	"3_1_1"	"C"	"HC"
"260"	"3"	"3_1"	"3_1_2"	"A"	"OB"
"262"	"3"	"3_1"	"3_1_2"	"B"	"AH"
"264"	"3"	"3_1"	"3_1_2"	"C"	"HC"
"266"	"3"	"3_1"	"3_1_3"	"A"	"OB"
"268"	"3"	"3_1"	"3_1_3"	"B"	"AH"
"270"	"3"	"3_1"	"3_1_3"	"C"	"HC"
"272"	"3"	"3_1"	"3_1_4"	"A"	"OB"
"274"	"3"	"3_1"	"3_1_4"	"B"	"AH"
"276"	"3"	"3_1"	"3_1_4"	"C"	"HC"
"278"	"3"	"3_1"	"3_1_5"	"A"	"OB"
"280"	"3"	"3_1"	"3_1_5"	"B"	"AH"
"282"	"3"	"3_1"	"3_1_5"	"C"	"HC"
"284"	"3"	"3_1"	"3_1_6"	"A"	"OB"
"286"	"3"	"3_1"	"3_1_6"	"B"	"AH"
"288"	"3"	"3_1"	"3_1_6"	"C"	"HC"
"292"	"3"	"3_1"	"3_1_7"	"B"	"AH"
"294"	"3"	"3_1"	"3_1_7"	"C"	"HC"
"298"	"3"	"3_1"	"3_1_8"	"B"	"AH"
"300"	"3"	"3_1"	"3_1_8"	"C"	"HC"
"302"	"3"	"3_2"	"3_2_1"	"A"	"AH"
"304"	"3"	"3_2"	"3_2_1"	"B"	"HC"
"306"	"3"	"3_2"	"3_2_1"	"C"	"OB"
"308"	"3"	"3_2"	"3_2_2"	"A"	"AH"
"310"	"3"	"3_2"	"3_2_2"	"B"	"HC"
"312"	"3"	"3_2"	"3_2_2"	"C"	"OB"
"314"	"3"	"3_2"	"3_2_3"	"A"	"AH"
"316"	"3"	"3_2"	"3_2_3"	"B"	"HC"
"318"	"3"	"3_2"	"3_2_3"	"C"	"OB"
"320"	"3"	"3_2"	"3_2_4"	"A"	"AH"
"322"	"3"	"3_2"	"3_2_4"	"B"	"HC"
"324"	"3"	"3_2"	"3_2_4"	"C"	"OB"
"326"	"3"	"3_2"	"3_2_5"	"A"	"AH"
"328"	"3"	"3_2"	"3_2_5"	"B"	"HC"
"330"	"3"	"3_2"	"3_2_5"	"C"	"OB"
"334"	"3"	"3_2"	"3_2_6"	"B"	"HC"
"336"	"3"	"3_2"	"3_2_6"	"C"	"OB"
"340"	"3"	"3_2"	"3_2_7"	"B"	"HC"
"342"	"3"	"3_2"	"3_2_7"	"C"	"OB"
"346"	"3"	"3_2"	"3_2_8"	"B"	"HC"
"348"	"3"	"3_2"	"3_2_8"	"C"	"OB"
"350"	"3"	"3_3"	"3_3_1"	"A"	"HC"
"352"	"3"	"3_3"	"3_3_1"	"B"	"OB"
"354"	"3"	"3_3"	"3_3_1"	"C"	"AH"
"356"	"3"	"3_3"	"3_3_2"	"A"	"HC"
"358"	"3"	"3_3"	"3_3_2"	"B"	"OB"
"360"	"3"	"3_3"	"3_3_2"	"C"	"AH"
"362"	"3"	"3_3"	"3_3_3"	"A"	"HC"
"368"	"3"	"3_3"	"3_3_4"	"A"	"HC"
"370"	"3"	"3_3"	"3_3_4"	"B"	"OB"
"372"	"3"	"3_3"	"3_3_4"	"C"	"AH"
"380"	"3"	"3_3"	"3_3_6"	"A"	"HC"
"382"	"3"	"3_3"	"3_3_6"	"B"	"OB"
"384"	"3"	"3_3"	"3_3_6"	"C"	"AH"
"388"	"3"	"3_3"	"3_3_7"	"B"	"OB"
"390"	"3"	"3_3"	"3_3_7"	"C"	"AH"
"394"	"3"	"3_3"	"3_3_8"	"B"	"OB"
"396"	"3"	"3_3"	"3_3_8"	"C"	"AH"
