"TRY_P"	"TRY_N"	"TRY_CN"	"TRY_LDMC"	"logHeight"	"TRY_SLA"	"Futterwert"	"Def.phys.num"	"Holz"
"12"	1.61	21.3	16.93748784	0.19714	-1.950104118463	25.15	2	1	0
"64"	1.57	20.49	NA	0.19597	-1.36479976209394	38.17	4	0	0
"98"	1.8	33.82	NA	0.21554	-1.27574731957063	NA	6	0	0
"94"	1.8725	27.75555849	17.07117107	0.217129987	-2.19344838712545	16.17078541	2	0	0
"8"	1.4915	20.44262192	19.00684932	NA	-1.73074247263597	30.67647059	4	2	0
"121"	1.81	25.89	NA	0.24503	-2.45923890303942	16.915	3	1	0
"55"	2.95	29.76366667	12.059762	0.335749085	-0.52618739726609	24.32373726	6	1	0
"48"	1.4375	15	NA	0.14611	-2.09470022148005	12.63	2	4	0
"91"	NA	36.12	NA	0.171531167	-2.35680664950673	NA	NA	3	0
"132"	1.412753769	26.7922635	16.50715319	0.307007786	-0.629380441544593	15.245	6	0	0
"136"	0.89	29.525	16.15804196	0.15406	-0.726260864753702	41.57	3	0	0
"101"	NA	NA	NA	0.192873545	-2.87431947789856	46.94	3	2	0
"102"	2.401827476	15.9	34.45443386	0.2074	-2.04108794282306	15.44622498	3	3	0
"137"	1.56	21.06	NA	0.23544	-1.76726199762767	27.68	2	0	0
"25"	1.257446685	19.48571429	23.73589356	0.356010095	-2.3038822339177	14.17611217	3	0	0
"9"	1.42	29.88824	NA	0.16506756	-1.79991024674903	18.85	6	1	0
"72"	1.503	35.55	NA	0.23566	-1.87518833797949	14.845	6	0	0
"107"	1.57	19.79	NA	0.15325	-2.91589470692044	NA	NA	0	0
"126"	2.810116297	23.66666667	17.09371255	NA	-1.69720122114445	20.53691275	2	2	0
"159"	NA	NA	NA	NA	NA	NA	NA	3	1
"150"	1.21	19.43049734	25.24909122	0.368480384	-1.22400545807617	20.42	2	0	1
"41"	2.61	31.78	NA	0.181205	-1.51803144676214	10.22	2	4	0
"134"	1.2135	17.35	27.64058271	0.294762324	-1.63291370515015	12.74916794	3	0	0
"78"	1.67	24.1	NA	0.2663935	-1.03366760002773	16.55	4	2	0
"34"	NA	NA	NA	0.28364	-1.57061791898131	21.595	3	1	0
"111"	1.613	21.15	16.0233943	0.158258327	-1.65324831049586	17.39531596	3	1	0
"99"	NA	NA	NA	NA	-1.7227665953411	NA	NA	0	0
"60"	NA	NA	NA	NA	NA	NA	NA	2	0
"124"	2.3235	19.99171708	21.09090909	0.188340807	-1.85219973091486	23.325	3	1	0
"112"	NA	NA	NA	NA	NA	NA	NA	2	0
"18"	0.9	13.97	33.04373654	0.392132082	-0.46043009016175	8.226666667	2	0	1
"119"	NA	NA	NA	NA	-2.07944154167984	18.39366242	NA	0	1
"40"	1.27	15.48	33.68844435	0.341935	-1.86093271412417	NA	NA	0	0
"10"	1.435	17.6	NA	0.15887	-1.60598234977379	22.08	2	2	0
"120"	2.5	23.74545578	17.10344828	0.235	-2.04420754184095	21.9	2	0	0
"58"	NA	NA	NA	0.430120665	-1.46696226418735	NA	2	0	1
"76"	0.96	11.8528502	55.39096324	0.503435749	0.693147180559945	6.074821429	1	4	1
"70"	NA	NA	NA	NA	-1.63475572041839	NA	6	0	0
"23"	1.56	19.93	NA	0.17101	-1.14323614486438	15.115	2	4	0
